,event_date,event_name,distance,number_of_finishers,athlete_id,athlete_gender,athlete_age,athlete_performance,athlete_average_speed
0,10.04.2021,The Zion 100 km Run (USA),100km,217,216401,M,51,0 days 10:49:12,9.242
1,10.04.2021,The Zion 100 km Run (USA),100km,217,387546,M,37,0 days 10:50:28,9.224
2,10.04.2021,The Zion 100 km Run (USA),100km,217,55330,M,47,0 days 10:56:55,9.134
3,10.04.2021,The Zion 100 km Run (USA),100km,217,387283,M,32,0 days 11:51:46,8.43
4,10.04.2021,The Zion 100 km Run (USA),100km,217,240506,M,34,0 days 11:52:56,8.416
5,10.04.2021,The Zion 100 km Run (USA),100km,217,861068,F,28,0 days 11:53:57,8.404
6,10.04.2021,The Zion 100 km Run (USA),100km,217,861069,M,27,0 days 12:12:43,8.189
7,10.04.2021,The Zion 100 km Run (USA),100km,217,861070,F,24,0 days 12:32:56,7.969
8,10.04.2021,The Zion 100 km Run (USA),100km,217,650031,M,35,0 days 12:41:59,7.874
9,10.04.2021,The Zion 100 km Run (USA),100km,217,846742,M,31,0 days 12:43:11,7.862
10,10.04.2021,The Zion 100 km Run (USA),100km,217,257246,M,36,0 days 12:43:37,7.857
11,10.04.2021,The Zion 100 km Run (USA),100km,217,814826,F,37,0 days 12:46:52,7.824
12,10.04.2021,The Zion 100 km Run (USA),100km,217,810649,F,30,0 days 12:46:59,7.823
13,10.04.2021,The Zion 100 km Run (USA),100km,217,861071,M,23,0 days 12:50:51,7.784
14,10.04.2021,The Zion 100 km Run (USA),100km,217,861072,F,47,0 days 12:56:52,7.723
15,10.04.2021,The Zion 100 km Run (USA),100km,217,25663,F,29,0 days 13:06:07,7.632
16,10.04.2021,The Zion 100 km Run (USA),100km,217,393801,M,52,0 days 13:26:32,7.439
17,10.04.2021,The Zion 100 km Run (USA),100km,217,235893,M,40,0 days 13:27:05,7.434
18,10.04.2021,The Zion 100 km Run (USA),100km,217,25671,F,32,0 days 13:27:59,7.426
19,10.04.2021,The Zion 100 km Run (USA),100km,217,144753,F,40,0 days 13:28:15,7.423
20,10.04.2021,The Zion 100 km Run (USA),100km,217,145956,F,57,0 days 13:29:34,7.411
21,10.04.2021,The Zion 100 km Run (USA),100km,217,861073,F,28,0 days 13:32:58,7.38
22,10.04.2021,The Zion 100 km Run (USA),100km,217,820914,F,32,0 days 13:43:05,7.29
23,10.04.2021,The Zion 100 km Run (USA),100km,217,210981,M,31,0 days 13:47:55,7.247
24,10.04.2021,The Zion 100 km Run (USA),100km,217,25567,F,47,0 days 13:48:11,7.245
25,10.04.2021,The Zion 100 km Run (USA),100km,217,165391,M,52,0 days 13:52:21,7.209
26,10.04.2021,The Zion 100 km Run (USA),100km,217,179849,F,54,0 days 13:57:36,7.163
27,10.04.2021,The Zion 100 km Run (USA),100km,217,744543,F,40,0 days 14:07:04,7.083
28,10.04.2021,The Zion 100 km Run (USA),100km,217,861074,M,29,0 days 14:08:16,7.073
29,10.04.2021,The Zion 100 km Run (USA),100km,217,861075,M,42,0 days 14:11:48,7.044
30,10.04.2021,The Zion 100 km Run (USA),100km,217,861076,F,39,0 days 14:12:37,7.037
31,10.04.2021,The Zion 100 km Run (USA),100km,217,260840,F,36,0 days 14:13:58,7.026
32,10.04.2021,The Zion 100 km Run (USA),100km,217,374185,M,45,0 days 14:16:20,7.007
33,10.04.2021,The Zion 100 km Run (USA),100km,217,861077,M,40,0 days 14:20:39,6.971
34,10.04.2021,The Zion 100 km Run (USA),100km,217,861078,F,26,0 days 14:23:19,6.95
35,10.04.2021,The Zion 100 km Run (USA),100km,217,647671,M,27,0 days 14:27:46,6.914
36,10.04.2021,The Zion 100 km Run (USA),100km,217,859086,M,27,0 days 14:27:46,6.914
37,10.04.2021,The Zion 100 km Run (USA),100km,217,647670,M,28,0 days 14:27:47,6.914
38,10.04.2021,The Zion 100 km Run (USA),100km,217,84639,M,64,0 days 14:30:48,6.89
